,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K01442,0.359509277766631,24,27,Control,-0.92,-2.1655,2.6851,-0.180354699274505,0.166481260868775,1.4339,0.8052,2.5535,1.4339 (0.8052;2.5535),0.716468844343428
K01464,0.0894115491761765,22,29,Control,-1.7,-4.6186,5.1454,-0.0614684524279313,0.0567401099334752,1.1338,0.627,2.0502,1.1338 (0.627;2.0502),0.394112083427539
K01465,0.0183403867151168,20,30,Control,-2.34,-0.5532,1.7226,-0.371574967883035,0.342992278045878,2.3678,1.1664,4.8065,2.3678 (1.1664;4.8065),0.242798568658306
K01468,0.976974262337502,25,26,Control,-0.03,-17.1853,15.74,-0.0280085762172397,0.0258540703543753,1.0565,0.603,1.8512,1.0565 (0.603;1.8512),0.99647828572355
K01476,0.16642009212642,22,28,Control,-1.39,-1.9082,2.6791,-0.155402965436058,0.143448891171746,1.3853,0.7491,2.5616,1.3853 (0.7491;2.5616),0.512482694657797
K01479,0.506228271280028,24,27,Control,-0.67,4.009,-1.6105,0.0989586988608168,-0.0913464912561385,0.8129,0.4362,1.5148,0.8129 (0.4362;1.5148),0.825835380143326
K01480,0.0822000465930611,22,29,Control,-1.74,19.5239,-9.3027,0.021713639727417,-0.020043359748385,0.9583,0.5469,1.6792,0.9583 (0.5469;1.6792),0.380217499467493
K01485,0.329809533579703,23,27,Control,-0.98,6.7683,-2.9523,0.0611844540845735,-0.0564779576165293,0.8852,0.4975,1.575,0.8852 (0.4975;1.575),0.678948563632942
K01491,0.118649191868006,22,29,Control,-1.56,-2.9202,3.3768,-0.127311798325713,0.117518583069889,1.2948,0.7198,2.3292,1.2948 (0.7198;2.3292),0.45361119612122
K01492,0.809894507566046,25,26,Control,-0.24,-21.8525,22.9541,-0.0194134464765505,0.0179201044398927,1.0389,0.5928,1.8204,1.0389 (0.5928;1.8204),0.985196349030558
K01494,0.178737668236209,23,28,Control,-1.35,-8.7027,8.4694,-0.0360493498963297,0.0332763229812274,1.0743,0.6077,1.8991,1.0743 (0.6077;1.8991),0.516455370430589
K01495,0.178737668236209,28,23,Case,1.35,2.6659,-1.978,0.178603123131352,-0.164864421352018,0.6986,0.3906,1.2494,0.6986 (0.3906;1.2494),0.516455370430589
K01496,0.0310242380331286,21,30,Control,-2.15,-1.2103,2.2121,-0.231477299247361,0.213671353151411,1.6588,0.8665,3.1753,1.6588 (0.8665;3.1753),0.264176087494216
K01497,0.969013082264768,26,25,Case,0.04,1.9529,-0.0809,0.175416909178273,-0.161923300779945,0.2358,0.0099,5.6257,0.2358 (0.0099;5.6257),0.99647828572355
K01499,0.217587970880475,23,28,Control,-1.23,-1.0203,2.7759,-0.172079147504336,0.158842290004003,1.4884,0.7372,3.0052,1.4884 (0.7372;3.0052),0.563689818736915
