,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K02790,0.707384603182297,26,25,Case,0.38,4.3156,-2.982,0.0883273047096951,-0.0815328966551032,0.8384,0.4706,1.4935,0.8384 (0.4706;1.4935),0.942229451210324
K02793,0.390803907241872,24,27,Control,-0.86,-3.2056,4.7756,-0.0856493671530823,0.079060954295153,1.1889,0.6636,2.1301,1.1889 (0.6636;2.1301),0.734554501237231
K02794,0.390803907241872,24,27,Control,-0.86,-0.8966,2.5001,-0.205701220402156,0.189878049601991,1.6641,0.7793,3.5534,1.6641 (0.7793;3.5534),0.734554501237231
K02795,0.292712954819136,23,28,Control,-1.06,-1.8555,3.3037,-0.128508956245324,0.118623651918761,1.3119,0.7048,2.4421,1.3119 (0.7048;2.4421),0.650216128886776
K02796,0.38019646578622,24,27,Control,-0.88,-2.8392,4.3954,-0.0956260750379398,0.0882702231119445,1.2154,0.673,2.195,1.2154 (0.673;2.195),0.733003134723347
K02798,0.301718405696185,23,28,Control,-1.04,3.0708,-0.6907,0.119479746062031,-0.110288996364951,0.7563,0.3597,1.59,0.7563 (0.3597;1.59),0.654693992282842
K02799,0.69310975436134,25,26,Control,-0.4,2.1574,-0.1811,0.173638609585715,-0.160281793463737,0.4725,0.0777,2.873,0.4725 (0.0777;2.873),0.942025833013478
K02802,0.704934630738953,26,25,Case,0.38,1.8604,-0.0461,0.22182628502768,-0.204762724640935,0.1895,0.0132,2.7145,0.1895 (0.0132;2.7145),0.942229451210324
K02803,0.154740451620766,22,28,Control,-1.43,-0.705,2.2538,-0.255269617265811,0.235633492860749,1.8137,0.8954,3.6738,1.8137 (0.8954;3.6738),0.499793872476267
K02808,0.0691680989243748,22,29,Control,-1.82,-6.0881,5.1617,-0.0633076519213496,0.0584378325427843,1.1344,0.6404,2.0093,1.1344 (0.6404;2.0093),0.350202446806294
K02809,0.0578545795426941,21,29,Control,-1.89,-1.1382,2.3442,-0.24657320616155,0.227606036456815,1.6801,0.9046,3.1204,1.6801 (0.9046;3.1204),0.32842700710095
K02812,0.149484365402899,28,23,Case,1.44,2.0095,-0.3149,0.222960294207288,-0.205809502345189,0.4924,0.1474,1.6448,0.4924 (0.1474;1.6448),0.499793872476267
K02813,0.168050491420835,28,23,Case,1.38,1.864,-0.1795,0.240158420222135,-0.221684695589663,0.3434,0.0474,2.4884,0.3434 (0.0474;2.4884),0.514683248929206
K02814,0.914832582429666,25,26,Control,-0.11,2.4531,-0.5932,0.183609434943617,-0.169485632255646,0.6388,0.2888,1.4126,0.6388 (0.2888;1.4126),0.989676920858447
K02815,0.527778380669816,24,27,Control,-0.63,2.2511,-0.3125,0.189451621767713,-0.174878420093274,0.5998,0.234,1.5375,0.5998 (0.234;1.5375),0.85061169353799
K02817,0.109631975674831,22,29,Control,-1.6,-1.5821,3.1865,-0.128522190255411,0.118635867928071,1.3194,0.6958,2.5018,1.3194 (0.6958;2.5018),0.435428765577774
K02818,0.824850115000099,25,26,Control,-0.22,2.7514,-0.7345,0.12704270046032,-0.117270185040295,0.7317,0.3265,1.6399,0.7317 (0.3265;1.6399),0.989676920858447
K02821,0.446432410141506,24,27,Control,-0.77,2.5034,-0.3558,0.142957873849338,-0.131961114322466,0.6792,0.2651,1.7399,0.6792 (0.2651;1.7399),0.779177063663125
K02822,0.369764612824605,24,27,Control,-0.9,-6.9362,7.9024,-0.0522251897894278,0.0482078674979332,1.109,0.6289,1.9557,1.109 (0.6289;1.9557),0.725332329519819
K02840,0.678941086483524,26,25,Case,0.42,3.5776,-1.7746,0.14619558974802,-0.134949775152019,0.7445,0.4141,1.3385,0.7445 (0.4141;1.3385),0.937505873719264
K02841,0.678941086483524,26,25,Case,0.42,2.0581,-0.2117,0.189944015017596,-0.17533293693932,0.3943,0.0646,2.4066,0.3943 (0.0646;2.4066),0.937505873719264
K02843,0.359509277766631,28,24,Case,0.92,2.9017,-1.2348,0.190709402358014,-0.176039448330475,0.6763,0.3708,1.2336,0.6763 (0.3708;1.2336),0.716468844343428
K02844,0.961633067902556,26,25,Case,0.05,2.8599,-0.9461,0.189211554876291,-0.174656819885807,0.6636,0.3458,1.2734,0.6636 (0.3458;1.2734),0.996198680481542
K02847,0.907225910596598,25,26,Control,-0.12,1.8324,-0.007,0.180734723357154,-0.166832052329681,0.0396,3e-04,5.9897,0.0396 (3e-04;5.9897),0.989676920858447
K02848,0.68317873561353,26,25,Case,0.41,1.7844,-0.0473,0.189250935824223,-0.174693171530052,0.0539,0.001,2.9947,0.0539 (0.001;2.9947),0.940230058442751
K02849,0.556880713160731,27,24,Case,0.59,1.957,-0.196,0.201906594452372,-0.186375317956036,0.2894,0.0401,2.0899,0.2894 (0.0401;2.0899),0.864549615459477
K02850,0.247701825327068,28,23,Case,1.16,1.7671,-0.1111,0.250231712044103,-0.230983118809941,0.1811,0.0166,1.9741,0.1811 (0.0166;1.9741),0.601332293018627
K02858,0.915715300438421,25,26,Control,-0.11,3.4296,-1.4327,0.103211159665373,-0.0952718396911133,0.8001,0.4156,1.5401,0.8001 (0.4156;1.5401),0.989676920858447
K02863,0.915715300438421,25,26,Control,-0.11,-5.0044,5.387,-0.072649461239915,0.0670610411445356,1.1542,0.6552,2.0334,1.1542 (0.6552;2.0334),0.989676920858447
K02864,0.961633067902556,25,26,Control,-0.05,87.492,-84.4392,0.00509170350971646,-0.00470003400896834,0.9901,0.5653,1.734,0.9901 (0.5653;1.734),0.996198680481542
K02867,0.824850115000099,25,26,Control,-0.22,-5.7851,5.814,-0.0737074464149041,0.0680376428445273,1.1563,0.6579,2.0323,1.1563 (0.6579;2.0323),0.989676920858447
K02871,0.839868412093286,26,25,Case,0.2,9.7048,-7.6001,0.0485861161067415,-0.0448487225600684,0.909,0.5184,1.5939,0.909 (0.5184;1.5939),0.989676920858447
K02874,0.824850115000099,25,26,Control,-0.22,-3.7725,4.7844,-0.0845894943812549,0.0780826101980812,1.183,0.6675,2.0969,1.183 (0.6675;2.0969),0.989676920858447
K02876,0.569912064003751,24,27,Control,-0.57,-4.1569,5.144,-0.0922237738859172,0.0851296374331542,1.1999,0.6811,2.1138,1.1999 (0.6811;2.1138),0.877508438274269
K02878,0.854944173276674,25,26,Control,-0.18,-9.2334,10.0022,-0.044576622929714,0.0411476519351206,1.0915,0.6225,1.9139,1.0915 (0.6225;1.9139),0.989676920858447
K02879,0.795006753287673,25,26,Control,-0.26,-11.7524,13.2235,-0.0341145155681596,0.0314903220629162,1.0693,0.6101,1.874,1.0693 (0.6101;1.874),0.972347759189711
K02881,0.609838760470472,24,27,Control,-0.51,-4.6208,5.0891,-0.0890266477502989,0.0821784440771995,1.1918,0.6778,2.0956,1.1918 (0.6778;2.0956),0.894854786904452
K02882,0.738730039026519,25,26,Control,-0.33,-0.2782,2.2208,-0.194152229308271,0.179217442438404,1.7798,0.6177,5.1281,1.7798 (0.6177;5.1281),0.953309487790824
K02884,0.143682973365797,22,28,Control,-1.47,-2.2806,2.8638,-0.167014564836788,0.154167290618573,1.3982,0.7835,2.495,1.3982 (0.7835;2.495),0.492377018485231
K02886,0.637115113015633,24,26,Control,-0.48,-2.5335,3.3763,-0.13079232435186,0.120731376324794,1.3003,0.7274,2.3245,1.3003 (0.7274;2.3245),0.909933147432746
K02887,0.160501491044013,22,28,Control,-1.41,-1.8491,3.0104,-0.185457153180368,0.171191218320339,1.4506,0.8128,2.5887,1.4506 (0.8128;2.5887),0.506751898689524
K02888,0.250362799164942,23,28,Control,-1.16,-1.5439,2.3259,-0.208564422992564,0.19252100583929,1.539,0.8394,2.8219,1.539 (0.8394;2.8219),0.602586266084357
K02890,0.234661698866164,23,28,Control,-1.19,-1.3766,2.6705,-0.212127324571854,0.195809838066327,1.5432,0.8501,2.8016,1.5432 (0.8501;2.8016),0.583539268861877
K02892,0.329809533579703,23,27,Control,-0.98,-2.2275,2.9305,-0.1521926642277,0.140485536210184,1.3595,0.7577,2.4392,1.3595 (0.7577;2.4392),0.678948563632942
K02895,0.518664530595882,27,24,Case,0.65,4.368,-2.7634,0.123443536695648,-0.113947880026752,0.7828,0.4427,1.3841,0.7828 (0.4427;1.3841),0.838818607755067
K02897,0.172498193748909,28,23,Case,1.37,3.4708,-2.5028,0.133898840284366,-0.123598929493261,0.7618,0.4231,1.3716,0.7618 (0.4231;1.3716),0.515659494079185
K02899,0.870072108910591,26,25,Case,0.17,191.3472,-210.2008,0.00216110779932659,-0.00199486873784049,0.9958,0.5685,1.744,0.9958 (0.5685;1.744),0.989676920858447
K02902,0.609838760470472,24,27,Control,-0.51,-7.7168,8.0704,-0.0527773494206526,0.048717553311372,1.1095,0.6319,1.9481,1.1095 (0.6319;1.9481),0.894854786904452
K02904,0.292712954819136,23,28,Control,-1.06,-2.0365,3.6623,-0.147014190526648,0.135705406639982,1.3407,0.7549,2.3812,1.3407 (0.7549;2.3812),0.650216128886776
K02906,0.339531161971321,23,27,Control,-0.96,-1.9351,3.3413,-0.154281039501103,0.142413267231786,1.3633,0.7622,2.4386,1.3633 (0.7622;2.4386),0.691364177637255
K02907,0.721761172145987,26,25,Case,0.36,6.4957,-5.2637,0.0705626629042071,-0.0651347657577297,0.8702,0.495,1.5298,0.8702 (0.495;1.5298),0.942229451210324
K02909,0.292712954819136,28,23,Case,1.06,2.9063,-1.5625,0.190550274251422,-0.175892560847468,0.6809,0.3793,1.2222,0.6809 (0.3793;1.2222),0.650216128886776
K02911,0.780191941046138,25,26,Control,-0.28,-3.9745,6.4283,-0.0780280338901739,0.0720258774370828,1.1666,0.6627,2.0536,1.1666 (0.6627;2.0536),0.963665650259186
K02913,1,26,26,Control,0,-30.2037,23.7776,-0.01481189019296,0.0136725140242707,1.0295,0.5877,1.8033,1.0295 (0.5877;1.8033),1
K02914,0.650939583685405,24,26,Control,-0.46,-4.6459,5.3259,-0.0855546634495536,0.0789735354918954,1.1841,0.6724,2.0853,1.1841 (0.6724;2.0853),0.922643243458254
K02916,0.109631975674831,22,29,Control,-1.6,-1.6968,2.1485,-0.217409688616326,0.200685866415069,1.5587,0.86,2.8252,1.5587 (0.86;2.8252),0.435428765577774
K02919,0.809894507566046,25,26,Control,-0.24,6.2014,-4.0774,0.0713021073983821,-0.065817329906199,0.8686,0.4923,1.5324,0.8686 (0.4923;1.5324),0.985196349030558
K02926,0.780191941046138,25,26,Control,-0.28,-4.9838,5.0944,-0.0790514181758164,0.0729705398545994,1.169,0.6636,2.0594,1.169 (0.6636;2.0594),0.963665650259186
K02927,0.145197125431699,22,28,Control,-1.46,-1.2571,2.8054,-0.150769534246814,0.13917187776629,1.4027,0.7113,2.7661,1.4027 (0.7113;2.7661),0.496053401170911
K02931,0.854944173276674,25,26,Control,-0.18,-10.31,12.8815,-0.0363531201498501,0.0335567262921689,1.074,0.6128,1.8824,1.074 (0.6128;1.8824),0.989676920858447
K02933,0.750801123888555,26,25,Case,0.32,9.8264,-7.7316,0.0473455930946021,-0.043703624395018,0.9111,0.5194,1.5983,0.9111 (0.5194;1.5983),0.955719663930618
K02935,0.283886478397828,23,28,Control,-1.08,-1.6855,2.3297,-0.179798892452567,0.165968208417755,1.457,0.786,2.7008,1.457 (0.786;2.7008),0.647238137361377
K02936,0.329809533579703,23,27,Control,-0.98,-2.6915,4.1682,-0.108879664528907,0.100504305718991,1.2463,0.695,2.2349,1.2463 (0.695;2.2349),0.678948563632942
K02939,0.101155518200909,22,29,Control,-1.64,-1.1344,2.2695,-0.238408751980697,0.220069617212952,1.6436,0.8908,3.0327,1.6436 (0.8908;3.0327),0.422672128095991
K02945,0.0437527291463828,21,30,Control,-2.01,-1.3117,2.4557,-0.223388491542905,0.20620476142422,1.5864,0.8677,2.9004,1.5864 (0.8677;2.9004),0.294479446470265
K02946,0.930998043449749,25,26,Control,-0.09,-619.8796,662.986,-0.000671429978442794,0.000619781518562515,1.0013,0.5717,1.7538,1.0013 (0.5717;1.7538),0.992208704748446
K02948,0.839868412093286,25,26,Control,-0.2,-9.0569,9.6242,-0.0420510226401042,0.0388163285908651,1.0862,0.6192,1.9051,1.0862 (0.6192;1.9051),0.989676920858447
K02950,0.721761172145987,26,25,Case,0.36,17.4855,-21.3033,0.0223668207635317,-0.0206462960894145,0.957,0.5463,1.6766,0.957 (0.5463;1.6766),0.942229451210324
K02952,0.234661698866164,23,28,Control,-1.19,-2.044,3.4257,-0.148857807020129,0.13740720648012,1.3458,0.7572,2.3918,1.3458 (0.7572;2.3918),0.583539268861877
K02954,0.623413544612998,27,24,Case,0.5,4.3276,-2.6244,0.115775934377824,-0.106870093271838,0.795,0.4499,1.405,0.795 (0.4499;1.405),0.897204640390537
K02956,0.596394520949954,27,24,Case,0.53,7.4555,-7.3584,0.0574625376168613,-0.0530423424155642,0.8932,0.5091,1.567,0.8932 (0.5091;1.567),0.894854786904452
K02959,0.0633067318046942,22,29,Control,-1.85,-0.9613,2.2175,-0.271212060528668,0.250349594334155,1.7481,0.9566,3.1945,1.7481 (0.9566;3.1945),0.338841745468935
K02961,0.946305810934461,25,26,Control,-0.07,-17.1337,17.3919,-0.0248851800484862,0.0229709354293718,1.0501,0.5993,1.8399,1.0501 (0.5993;1.8399),0.992208704748446
K02963,0.0146886468913997,20,30,Control,-2.42,-0.7221,1.6217,-0.348539547264738,0.321728812859758,2.2656,1.107,4.6368,2.2656 (1.107;4.6368),0.241203117614782
K02965,0.596394520949954,24,27,Control,-0.53,-3.5261,4.4827,-0.105724975033237,0.0975922846460646,1.2326,0.699,2.1734,1.2326 (0.699;2.1734),0.894854786904452
K02967,0.900463086624313,26,25,Case,0.13,-24.4347,27.2863,-0.0172573860649938,0.0159298948292251,1.0345,0.5905,1.8122,1.0345 (0.5905;1.8122),0.989676920858447
K02968,0.961633067902556,25,26,Control,-0.05,-10.5707,11.8376,-0.0358369689687482,0.0330802790480754,1.073,0.6118,1.8816,1.073 (0.6118;1.8816),0.996198680481542
K02970,0.481825693345,24,27,Control,-0.71,-4.7069,5.2604,-0.0847184071956847,0.0782016066421711,1.1824,0.6711,2.0832,1.1824 (0.6711;2.0832),0.809524782241824
K02977,0.0926284083599477,22,29,Control,-1.68,-0.9764,2.6094,-0.142881500256376,0.131890615621271,1.3989,0.6771,2.89,1.3989 (0.6771;2.89),0.40446689836333
K02982,0.870072108910591,26,25,Case,0.17,6.3394,-4.8553,0.0740839384760521,-0.0683851739778936,0.8642,0.4915,1.5192,0.8642 (0.4915;1.5192),0.989676920858447
K02986,0.765455087307519,26,25,Case,0.3,11.8484,-10.4839,0.040062103915317,-0.0369804036141398,0.9243,0.5273,1.6203,0.9243 (0.5273;1.6203),0.962384248471646
K02988,1,26,26,Control,0,-15.1897,15.2859,-0.0267275525697969,0.0246715869875051,1.0539,0.6015,1.8465,1.0539 (0.6015;1.8465),1
K02990,0.38019646578622,24,27,Control,-0.88,-2.335,3.5707,-0.14066071668659,0.129840661556852,1.3251,0.7438,2.3608,1.3251 (0.7438;2.3608),0.733003134723347
K02992,1,26,26,Control,0,-146.288,126.4739,-0.0031137278777936,0.0028742103487324,1.0061,0.5745,1.7622,1.0061 (0.5745;1.7622),1
K02994,0.870072108910591,25,26,Control,-0.17,-12.9217,11.3822,-0.0351999917415855,0.0324923000691561,1.0716,0.6114,1.8783,1.0716 (0.6114;1.8783),0.989676920858447
K02996,0.795006753287673,25,26,Control,-0.26,-9.617,10.2201,-0.0427945324686452,0.0395026453556722,1.0878,0.6202,1.9076,1.0878 (0.6202;1.9076),0.972347759189711
K03040,0.915715300438421,26,25,Case,0.11,5.1255,-2.5647,0.0986231308846054,-0.0910367362011735,0.8222,0.4644,1.4557,0.8222 (0.4644;1.4557),0.989676920858447
K03043,0.854944173276674,25,26,Control,-0.18,-9.7837,11.2233,-0.0405981017930853,0.0374751708859253,1.083,0.6179,1.8982,1.083 (0.6179;1.8982),0.989676920858447
K03046,0.721761172145987,25,26,Control,-0.36,-6.9986,7.5351,-0.0580606525416802,0.0535944485000122,1.1211,0.6384,1.9687,1.1211 (0.6384;1.9687),0.942229451210324
K03048,0.356322203530252,24,27,Control,-0.92,-0.7698,2.4418,-0.241006916595035,0.222467923010802,1.7383,0.8674,3.4838,1.7383 (0.8674;3.4838),0.715189565657149
K03060,0.19844192302749,23,28,Control,-1.29,-4.1892,4.7524,-0.0816721548276306,0.0753896813793516,1.1796,0.6579,2.1149,1.1796 (0.6579;2.1149),0.542697619179802
K03070,0.390803907241872,24,27,Control,-0.86,-1.8862,3.3432,-0.15744088836601,0.145330050799394,1.3725,0.7675,2.4545,1.3725 (0.7675;2.4545),0.734554501237231
K03071,0.185140312870791,28,23,Case,1.33,32.1886,-47.8087,0.00751266878513421,-0.00693477118627772,0.9854,0.5628,1.7253,0.9854 (0.5628;1.7253),0.526829649789289
K03072,0.650939583685405,24,26,Control,-0.46,6.6301,-3.7771,0.0610706755499831,-0.0563729312769075,0.8858,0.4996,1.5706,0.8858 (0.4996;1.5706),0.922643243458254
K03073,0.0857457078270006,29,22,Case,1.72,2.1638,-1.0611,0.256542036442906,-0.236808033639606,0.5852,0.3157,1.0847,0.5852 (0.3157;1.0847),0.387060946174894
K03074,0.329809533579703,23,27,Control,-0.98,4.7157,-1.8083,0.0900151964191128,-0.0830909505407195,0.8317,0.4559,1.5171,0.8317 (0.4559;1.5171),0.678948563632942
K03075,0.412541130682006,27,24,Case,0.83,4.294,-3.5969,0.105045418334116,-0.0969650015391848,0.8124,0.4604,1.4334,0.8124 (0.4604;1.4334),0.750317525706432
K03076,0.915715300438421,26,25,Case,0.11,11.736,-10.0036,0.0376534959388083,-0.0347570731742842,0.9287,0.5295,1.6288,0.9287 (0.5295;1.6288),0.989676920858447
K03106,0.178737668236209,23,28,Control,-1.35,-1.0145,2.2645,-0.245237719805355,0.226373279820327,1.6646,0.9043,3.064,1.6646 (0.9043;3.064),0.516455370430589
K03110,0.178737668236209,23,28,Control,-1.35,-1.4768,2.6547,-0.211594915334703,0.19531838338588,1.5332,0.8537,2.7536,1.5332 (0.8537;2.7536),0.516455370430589
K03116,0.839868412093286,26,25,Case,0.2,6.0531,-3.5119,0.083504152250533,-0.0770807559235686,0.8482,0.4822,1.4923,0.8482 (0.4822;1.4923),0.989676920858447
K03117,0.780191941046138,26,25,Case,0.28,2.119,-0.2123,0.188191018784843,-0.173714786570624,0.4484,0.0916,2.1952,0.4484 (0.0916;2.1952),0.963665650259186
K03118,0.69310975436134,25,26,Control,-0.4,-4.6369,4.9787,-0.0874686341666147,0.0807402776922595,1.1883,0.6754,2.0908,1.1883 (0.6754;2.0908),0.942025833013478
K03142,0.333330634310444,23,27,Control,-0.97,-1.5579,3.2908,-0.153560185912064,0.141747863918829,1.3735,0.7519,2.5089,1.3735 (0.7519;2.5089),0.684942656243033
K03147,0.824850115000099,26,25,Case,0.22,22.1029,-22.4666,0.0176394278444334,-0.0162825487794767,0.966,0.5515,1.6919,0.966 (0.5515;1.6919),0.989676920858447
K03179,0.0360351286646182,21,30,Control,-2.09,-7.2977,5.5076,-0.0412393700390717,0.0380671108052968,1.0864,0.6092,1.9374,1.0864 (0.6092;1.9374),0.28127419874327
K03181,0.914875443490283,26,25,Case,0.11,1.8733,-0.0191,0.184833640164126,-0.170615667843809,0.1092,0.0028,4.2341,0.1092 (0.0028;4.2341),0.989676920858447
K03182,0.0378489319091801,21,30,Control,-2.07,-2.5616,2.6101,-0.123041363804987,0.113576643512296,1.309,0.6822,2.5117,1.309 (0.6822;2.5117),0.282694933822692
K03183,0.212415816646397,28,23,Case,1.25,2.8384,-1.7514,0.181647837631029,-0.167674927044026,0.6931,0.3862,1.2438,0.6931 (0.3862;1.2438),0.556539342448835
K03184,0.606356925206575,24,27,Control,-0.52,1.9206,-0.006,0.186205119679643,-0.171881648935056,0.1868,0.0067,5.175,0.1868 (0.0067;5.175),0.894854786904452
K03185,0.868887172117784,25,26,Control,-0.17,1.8727,-0.0183,0.193225273184808,-0.17836179063213,0.1267,0.0053,3.031,0.1267 (0.0053;3.031),0.989676920858447
K03186,0.0437527291463828,21,30,Control,-2.01,-2.7911,2.5404,-0.115972240569469,0.107051298987202,1.2847,0.6772,2.4372,1.2847 (0.6772;2.4372),0.294479446470265
K03194,0.623413544612998,27,24,Case,0.5,2.4938,-0.7362,0.156151558602863,-0.144139900248797,0.6673,0.283,1.5735,0.6673 (0.283;1.5735),0.897204640390537
K03195,0.128226419443286,22,29,Control,-1.52,-4.1346,4.2225,-0.089169262197871,0.0823100881826501,1.1968,0.6695,2.1393,1.1968 (0.6695;2.1393),0.460468036595059
K03196,0.172498193748909,23,28,Control,-1.37,-4.0211,4.3555,-0.0818734087879234,0.0755754542657754,1.1796,0.6591,2.1112,1.1796 (0.6591;2.1112),0.515659494079185
K03197,0.0768008855911527,22,29,Control,-1.77,-0.3492,2.0531,-0.24054221379549,0.222038966580452,2.2539,0.7169,7.0864,2.2539 (0.7169;7.0864),0.370490109031998
K03198,0.0730501036964285,22,29,Control,-1.79,-0.2351,1.9087,-0.266897109787139,0.246366562880436,3.0229,0.6995,13.0637,3.0229 (0.6995;13.0637),0.362750002666573
K03199,0.292712954819136,23,28,Control,-1.06,-3.2823,4.0268,-0.0933259201627544,0.086147003227158,1.2081,0.6727,2.1696,1.2081 (0.6727;2.1696),0.650216128886776
K03200,0.320266731075524,23,28,Control,-1,-8.4308,8.2007,-0.0359965431528922,0.0332275782949774,1.074,0.6085,1.8957,1.074 (0.6085;1.8957),0.676653770167085
K03201,0.502694345390121,27,24,Case,0.67,2.06,-0.3955,0.165385561340787,-0.152663595083803,0.5438,0.12,2.4636,0.5438 (0.12;2.4636),0.825835380143326
K03203,0.861260586279555,26,25,Case,0.17,2.5109,-0.7525,0.147321737646702,-0.135989296289263,0.679,0.2797,1.6484,0.679 (0.2797;1.6484),0.989676920858447
K03204,0.123366622011282,22,29,Control,-1.54,-2.0483,2.9586,-0.129595707506686,0.119626806929249,1.3169,0.7039,2.464,1.3169 (0.7039;2.464),0.457637238088056
K03205,0.0605307709448935,21,29,Control,-1.87,-0.7838,2.1446,-0.289146550171042,0.266904507850192,1.8468,0.9859,3.4597,1.8468 (0.9859;3.4597),0.333512679127747
K03210,0.128226419443286,22,29,Control,-1.52,-1.0873,2.3905,-0.216275528714958,0.199638949583038,1.5733,0.8462,2.9251,1.5733 (0.8462;2.9251),0.460468036595059
K03217,0.0103916236967218,20,31,Control,-2.53,-0.5469,1.6853,-0.359790694756224,0.332114487467284,2.2676,1.1297,4.5515,2.2676 (1.1297;4.5515),0.241203117614782
K03219,0.609838760470472,24,27,Control,-0.51,4.9856,-2.791,0.0605084803971897,-0.0558539819050982,0.8851,0.4915,1.5938,0.8851 (0.4915;1.5938),0.894854786904452
K03221,0.696598977128785,25,26,Control,-0.39,2.1295,-0.0494,0.138183044805201,-0.127553579820186,0.6557,0.1957,2.197,0.6557 (0.1957;2.197),0.942210890845673
K03222,0.697674837477976,25,26,Control,-0.39,2.0876,-0.0736,0.142272880865645,-0.13132881310675,0.63,0.1618,2.4538,0.63 (0.1618;2.4538),0.942229451210324
K03223,0.436929193971252,24,27,Control,-0.78,-0.1749,2.2439,-0.22962120093807,0.211958031635142,2.1722,0.7085,6.6601,2.1722 (0.7085;6.6601),0.778301765489203
K03224,0.891851808328891,26,25,Case,0.14,4.3559,-2.5975,0.0717893164036197,-0.066267061295649,0.8643,0.477,1.5661,0.8643 (0.477;1.5661),0.989676920858447
K03225,0.891875037714468,25,26,Control,-0.14,1.9541,-0.0129,0.153125078004118,-0.141346225849955,0.4828,0.0221,10.5477,0.4828 (0.0221;10.5477),0.989676920858447
K03226,0.785726592438544,25,26,Control,-0.27,2.0917,-0.0797,0.142121621419443,-0.131189189002563,0.6316,0.1642,2.4298,0.6316 (0.1642;2.4298),0.968373563487855
K03227,0.945741108840897,25,26,Control,-0.07,2.0762,-0.1186,0.14298395737547,-0.131985191423511,0.628,0.1611,2.4476,0.628 (0.1611;2.4476),0.992208704748446
K03228,0.907245870372531,25,26,Control,-0.12,2.083,-0.0692,0.143088221693161,-0.132081435409071,0.625,0.1559,2.5064,0.625 (0.1559;2.5064),0.989676920858447
K03229,0.648119607575739,24,26,Control,-0.46,2.0209,-0.0219,0.14794205346738,-0.136561895508351,0.5764,0.0952,3.491,0.5764 (0.0952;3.491),0.922643243458254
K03230,0.795006753287673,26,25,Case,0.26,3.7813,-2.0319,0.0763282532079691,-0.0704568491150483,0.8544,0.4649,1.5704,0.8544 (0.4649;1.5704),0.972347759189711
K03269,0.0437527291463828,30,22,Case,2.01,1.9259,-0.9755,0.293567821013726,-0.270985680935747,0.541,0.2916,1.0039,0.541 (0.2916;1.0039),0.294479446470265
K03270,0.109631975674831,29,22,Case,1.6,2.2467,-1.81,0.204666292235014,-0.188922731293859,0.6565,0.3598,1.1978,0.6565 (0.3598;1.1978),0.435428765577774
K03271,0.138382343903378,22,28,Control,-1.49,-0.8156,2.406,-0.234204156888234,0.216188452512216,1.6896,0.8603,3.3182,1.6896 (0.8603;3.3182),0.481553419651384
K03272,0.750801123888555,25,26,Control,-0.32,-38.6596,31.1666,-0.0109390789995938,0.0100976113842403,1.0217,0.5831,1.7903,1.0217 (0.5831;1.7903),0.955719663930618
K03273,0.369764612824605,24,27,Control,-0.9,-3.0824,4.4373,-0.105612457952451,0.0974884227253393,1.2366,0.6927,2.2077,1.2366 (0.6927;2.2077),0.725332329519819
K03274,0.369764612824605,24,27,Control,-0.9,8.0759,-4.1418,0.0503524680431244,-0.0464792012705764,0.9055,0.5139,1.5955,0.9055 (0.5139;1.5955),0.725332329519819
K03275,0.870072108910591,26,25,Case,0.17,2.3519,-0.6175,0.159263929310529,-0.147012857825103,0.6329,0.2302,1.7402,0.6329 (0.2302;1.7402),0.989676920858447
K03276,0.40672216897313,27,24,Case,0.83,1.8758,-0.0419,0.169131959346022,-0.156121808627098,0.1142,0.001,12.7237,0.1142 (0.001;12.7237),0.750317525706432
K03277,0.276367685836266,28,23,Case,1.09,2.1385,-0.2967,0.145628998181101,-0.134426767551786,0.6289,0.1748,2.2627,0.6289 (0.1748;2.2627),0.63785888887056
K03278,0.294599897944552,28,23,Case,1.05,2.4275,-0.8655,0.160906818269388,-0.148529370710204,0.6729,0.3048,1.4854,0.6729 (0.3048;1.4854),0.651831270255269
K03279,0.283886478397828,23,28,Control,-1.08,-5.6601,5.2552,-0.077476672992438,0.0715169289160965,1.1656,0.6615,2.054,1.1656 (0.6615;2.054),0.647238137361377
K03280,0.224257590337906,23,28,Control,-1.22,-0.8778,2.6155,-0.143798695428122,0.132737257318266,1.4512,0.6303,3.341,1.4512 (0.6303;3.341),0.573907923050603
K03388,0.0227450588424616,21,30,Control,-2.26,-0.3956,1.8608,-0.372528716899812,0.343872661753672,2.295,1.1694,4.5043,2.295 (1.1694;4.5043),0.242798568658306
K03389,0.0123791676830221,20,30,Control,-2.48,-0.4171,1.7298,-0.388264032746002,0.358397568688618,2.4309,1.207,4.8958,2.4309 (1.207;4.8958),0.241203117614782
K03390,0.00868821959739102,20,31,Control,-2.59,-0.4179,1.6909,-0.391642772165162,0.361516405075535,2.4479,1.2149,4.9323,2.4479 (1.2149;4.9323),0.241203117614782
K03392,0.0968516448190183,22,29,Control,-1.66,-0.5768,2.1336,-0.284217672125887,0.262354774270049,1.9832,0.9458,4.1585,1.9832 (0.9458;4.1585),0.416626175476311
K03420,0.0148069529496619,20,30,Control,-2.44,-1.9271,3.2506,-0.103348636568622,0.0953987414479592,1.2458,0.665,2.3337,1.2458 (0.665;2.3337),0.241203117614782
K03425,0.695751091044381,25,26,Control,-0.39,1.9158,-0.0289,0.178090548374792,-0.164391275422885,0.1298,0.0029,5.7367,0.1298 (0.0029;5.7367),0.942210890845673
