ID,KO_sum,Case_KO_Num,Control_KO_Num,NS;Case;Control,zscore_two,zscore_less,zscore_greater,zscore_adj_two,zscore_adj_less,zscore_adj_greater
M00037,1,1,1,1; 0; 0,-1.59569795051219,-0.0891467606737559,0.0693363694129201,-1.28187102731406,-0.543771973810452,0.503889443054042
M00038,1,1,1,1; 0; 0,1.29970151876457,1.66031228881994,-1.67973114599912,0.679432420279369,0.916892603256878,-0.975305875359476
M00039,2,2,2,2; 0; 0,-2.01228205747549,0.137857760317892,-0.165441439145357,-1.5552988615861,-0.56689684074074,0.524442474262216
M00040,2,2,2,2; 0; 0,0.0908705166823875,0.647717151393166,-0.675398152259202,-0.183745094359151,-0.141997044549805,0.106405326290739
M00042,1,1,1,1; 0; 0,-1.59569795051219,-0.0891467606737559,0.0693363694129201,-1.28187102731406,-0.543771973810452,0.503889443054042
M00044,4,4,4,4; 0; 0,-1.53974648452379,0.691532861687597,-0.730886276954032,-1.45605152605988,-0.330007872621755,0.384945163094037
M00045,4,4,4,4; 0; 0,-2.5519213011594,0.42376016756001,-0.462284660749212,-2.1491176103605,-0.557839930550473,0.610863771566495
M00046,4,4,4,4; 0; 0,0.0785948655696425,1.60919534840127,-1.64829139917201,-0.347925257616241,0.450777238844247,-0.386676733845507
M00047,1,1,1,0; 1; 0,1.86942182501126,2.15987851713868,-2.18126345295193,1.06535305494907,1.3339922168863,-1.39945430527469
M00048,13,13,13,12; 1; 0,0.515732696363249,0.000360337215965178,-0.0705722072236781,-0.498455244183092,-1.74156320328638,1.60658713908699
M00049,7,7,7,7; 0; 0,-0.591044264052263,0.918592037258088,-0.96984063240782,-0.817912604983575,-0.459551053617566,0.433973866295179
M00050,7,7,7,6; 1; 0,0.981470787107004,1.84688422720565,-1.89860352113663,0.208255333328283,0.300135944530087,-0.335066202525367
M00051,8,8,8,7; 1; 0,0.552963808216658,2.29516892969846,-2.35037789375728,-0.169962079950286,0.595682708931352,-0.60328663512689
M00052,3,3,3,3; 0; 0,1.02627685304815,1.34868236897014,-1.38246671586481,0.341094645942527,0.310425699894599,-0.358921313040765
M00053,8,8,8,7; 1; 0,0.0279318395943662,1.39519411640796,-1.4501769257684,-0.535146989880777,-0.136447676486709,0.14260207265262
M00055,4,4,4,4; 0; 0,0.512894268694531,0.756906170973834,-0.79745897424745,-0.0505475894597071,-0.274385563420963,0.328951415374669
M00056,1,1,1,1; 0; 0,-1.25457323319681,0.131748607531905,-0.155702899810432,-1.05079787446268,-0.359341226677713,0.313572585322016
M00058,1,1,1,1; 0; 0,0.992398886184809,1.40338692082094,-1.42298517943004,0.471269878589129,0.702379560442451,-0.758174501971028
M00060,9,9,9,5; 0; 4,3.3858662724425,-4.88387483123541,4.82442987946609,1.78203324863309,-5.35813200100969,5.36244971285381
M00061,5,5,5,5; 0; 0,0.0271384210448162,-1.65270009728052,1.60941466172976,-0.498085476436741,-2.31564520881828,2.3493777267862
M00063,3,3,3,3; 0; 0,1.05898494556343,-2.01730891551305,1.98349819934824,0.365315986251758,-2.43882324985586,2.49189404313409
M00064,4,4,4,4; 0; 0,0.537778348857362,1.79662695864029,-1.83546336024731,-0.0335087225402539,0.61025178728832,-0.544105529653457
M00065,4,4,4,2; 2; 0,2.49882954066114,3.31101425761618,-3.35118341496244,1.30928112786739,1.89875499315438,-1.81896519145803
M00066,1,1,1,1; 0; 0,1.14556065015836,1.53011408106341,-1.549857488561,0.575019533484193,0.808187052176586,-0.865471060879801
M00072,1,1,1,1; 0; 0,0.622613747689037,1.11053353085389,-1.12999711996216,0.220782553887873,0.457869365635232,-0.510393005775409
M00073,1,1,1,1; 0; 0,0.621029404099426,1.10932468846077,-1.12895875374326,0.219709341511671,0.456860074641311,-0.509514854168189
M00074,2,2,2,2; 0; 0,-0.192256016434319,-0.865095133745901,0.83763173336052,-0.368383749618679,-1.40272430167672,1.3467119678446
M00075,1,1,1,1; 0; 0,0.46481756766516,0.992341320566177,-1.01179899351845,0.113893609829591,0.359187904698769,-0.410432247405486
